Age,G,MP,FGA,3P,3P%,2PA,FT,FT%,DRB,AST,BLK,PF,Rk,Pos,Tm,GS,FG,FG%,3PA,2P,2P%,FTA,ORB,TRB,STL,TOV,PTS
21.0,35.0,491.0,145.0,0.0,0.0,145.0,44.0,0.5429999999999999,95.0,20.0,19.0,58.0,1.0,PF,MIA,2.0,84.0,0.579,0.0,84.0,0.579,81.0,46.0,141.0,15.0,32.0,212.0
24.0,7.0,18.0,8.0,0.0,0.0,6.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,PG,MIL,0.0,1.0,0.125,2.0,1.0,0.16699999999999998,0.0,0.0,3.0,0.0,0.0,2.0
27.0,33.0,918.0,187.0,0.0,0.0,186.0,35.0,0.443,161.0,69.0,20.0,63.0,3.0,C,NOP,33.0,115.0,0.615,1.0,115.0,0.618,79.0,133.0,294.0,29.0,50.0,265.0
23.0,33.0,1119.0,419.0,2.0,0.333,413.0,160.0,0.847,241.0,179.0,34.0,80.0,4.0,C,MIA,33.0,236.0,0.563,6.0,234.0,0.5670000000000001,189.0,72.0,313.0,29.0,98.0,634.0
35.0,21.0,544.0,248.0,27.0,0.36,173.0,31.0,0.838,77.0,36.0,18.0,36.0,5.0,C,SAS,18.0,115.0,0.464,75.0,88.0,0.509,37.0,17.0,94.0,8.0,20.0,288.0
22.0,3.0,8.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,SG,PHO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22.0,28.0,495.0,211.0,30.0,0.306,113.0,28.0,0.8,61.0,54.0,9.0,44.0,7.0,SG,NOP,3.0,86.0,0.408,98.0,56.0,0.496,35.0,5.0,66.0,28.0,32.0,230.0
25.0,23.0,551.0,164.0,46.0,0.407,51.0,34.0,0.895,57.0,50.0,3.0,30.0,8.0,SG,MEM,12.0,67.0,0.409,113.0,21.0,0.412,38.0,8.0,65.0,23.0,21.0,214.0
22.0,35.0,977.0,257.0,4.0,0.5,249.0,123.0,0.741,235.0,60.0,59.0,55.0,9.0,C,TOT,17.0,172.0,0.669,8.0,168.0,0.675,166.0,111.0,346.0,16.0,54.0,471.0
22.0,12.0,320.0,65.0,0.0,0.0,65.0,46.0,0.754,87.0,20.0,19.0,21.0,9.0,C,BRK,5.0,44.0,0.677,0.0,44.0,0.677,61.0,38.0,125.0,7.0,22.0,134.0
22.0,23.0,657.0,192.0,4.0,0.5,184.0,77.0,0.733,148.0,40.0,40.0,34.0,9.0,C,CLE,12.0,128.0,0.667,8.0,124.0,0.674,105.0,73.0,221.0,9.0,32.0,337.0
30.0,9.0,163.0,43.0,6.0,0.4,28.0,7.0,0.778,28.0,15.0,5.0,9.0,10.0,PF,ORL,6.0,17.0,0.395,15.0,11.0,0.393,9.0,9.0,37.0,8.0,10.0,47.0
27.0,30.0,829.0,306.0,46.0,0.38,185.0,64.0,0.762,155.0,105.0,21.0,54.0,11.0,PF,MEM,30.0,146.0,0.477,121.0,100.0,0.541,84.0,28.0,183.0,36.0,46.0,402.0
26.0,35.0,1189.0,661.0,39.0,0.285,524.0,240.0,0.6609999999999999,344.0,205.0,49.0,106.0,12.0,PF,MIL,35.0,368.0,0.557,137.0,329.0,0.628,363.0,64.0,408.0,44.0,128.0,1015.0
23.0,3.0,19.0,3.0,0.0,0.0,3.0,1.0,0.5,6.0,0.0,2.0,3.0,13.0,PF,LAL,0.0,1.0,0.333,0.0,1.0,0.333,2.0,2.0,8.0,1.0,5.0,3.0
28.0,26.0,227.0,43.0,2.0,0.222,34.0,6.0,0.462,29.0,18.0,6.0,33.0,14.0,SF,MIL,0.0,26.0,0.605,9.0,24.0,0.706,13.0,26.0,55.0,8.0,19.0,60.0
36.0,34.0,870.0,402.0,60.0,0.387,247.0,80.0,0.8420000000000001,94.0,50.0,27.0,72.0,15.0,PF,POR,3.0,166.0,0.413,155.0,106.0,0.429,95.0,19.0,113.0,31.0,35.0,472.0
20.0,25.0,667.0,269.0,27.0,0.325,186.0,46.0,0.836,91.0,94.0,11.0,51.0,16.0,PG,ORL,17.0,101.0,0.375,83.0,74.0,0.398,55.0,20.0,111.0,17.0,51.0,275.0
23.0,23.0,769.0,238.0,49.0,0.395,114.0,40.0,0.755,99.0,38.0,17.0,64.0,17.0,SF,TOR,23.0,114.0,0.479,124.0,65.0,0.57,53.0,33.0,132.0,37.0,38.0,317.0
26.0,18.0,198.0,50.0,11.0,0.344,18.0,8.0,0.889,31.0,23.0,0.0,16.0,18.0,PG,CHI,0.0,21.0,0.42,32.0,10.0,0.556,9.0,2.0,33.0,5.0,4.0,61.0
33.0,34.0,664.0,183.0,45.0,0.366,60.0,35.0,0.897,35.0,103.0,1.0,27.0,19.0,PG,MIL,6.0,64.0,0.35,123.0,19.0,0.317,39.0,11.0,46.0,19.0,30.0,208.0
20.0,30.0,646.0,157.0,31.0,0.35600000000000004,70.0,11.0,0.579,127.0,39.0,6.0,75.0,20.0,SF,WAS,16.0,68.0,0.433,87.0,37.0,0.529,19.0,13.0,140.0,20.0,24.0,178.0
22.0,35.0,1088.0,367.0,4.0,0.235,350.0,66.0,0.75,282.0,59.0,38.0,110.0,21.0,C,PHO,35.0,218.0,0.594,17.0,214.0,0.611,88.0,118.0,400.0,11.0,61.0,506.0
21.0,12.0,49.0,7.0,0.0,0.0,7.0,4.0,0.667,9.0,0.0,4.0,8.0,22.0,C,UTA,0.0,4.0,0.5710000000000001,0.0,4.0,0.5710000000000001,6.0,4.0,13.0,1.0,3.0,12.0
25.0,36.0,886.0,329.0,34.0,0.333,227.0,57.0,0.826,91.0,35.0,3.0,57.0,23.0,SG,ORL,23.0,136.0,0.413,102.0,102.0,0.449,69.0,12.0,103.0,23.0,26.0,363.0
21.0,34.0,888.0,390.0,34.0,0.37,298.0,54.0,0.529,175.0,33.0,16.0,82.0,24.0,PF,SAC,34.0,195.0,0.5,92.0,161.0,0.54,102.0,83.0,258.0,18.0,47.0,478.0
19.0,35.0,1010.0,448.0,70.0,0.378,263.0,81.0,0.802,160.0,221.0,13.0,95.0,25.0,PG,CHO,15.0,201.0,0.449,185.0,131.0,0.498,101.0,51.0,211.0,57.0,99.0,553.0
23.0,33.0,1048.0,409.0,99.0,0.387,153.0,31.0,0.775,117.0,168.0,18.0,71.0,26.0,PG,NOP,33.0,175.0,0.428,256.0,76.0,0.4970000000000001,40.0,20.0,137.0,43.0,66.0,480.0
22.0,17.0,161.0,67.0,7.0,0.368,48.0,4.0,0.667,46.0,4.0,13.0,21.0,27.0,C,ORL,0.0,35.0,0.522,19.0,28.0,0.583,6.0,19.0,65.0,3.0,7.0,81.0
22.0,28.0,639.0,209.0,47.0,0.443,103.0,21.0,0.875,68.0,38.0,4.0,54.0,28.0,SG,MEM,6.0,100.0,0.478,106.0,53.0,0.515,24.0,12.0,80.0,20.0,29.0,268.0
28.0,33.0,1179.0,374.0,56.0,0.392,231.0,128.0,0.826,167.0,118.0,6.0,43.0,29.0,PF,SAC,33.0,184.0,0.4920000000000001,143.0,128.0,0.5539999999999999,155.0,33.0,200.0,26.0,47.0,552.0
20.0,37.0,1227.0,526.0,43.0,0.35,403.0,103.0,0.73,176.0,109.0,8.0,96.0,30.0,SG,NYK,37.0,233.0,0.443,123.0,190.0,0.471,141.0,45.0,221.0,24.0,70.0,612.0
